TGRAC FID,TGRAC Name,TGRAC District,Current LGD Code,Current LGD Name,Census 2011,Temporal Classification,Historical Identity,Match Method,Evidence,Status
496,Shamshabad,Rangareddy,4543,Shamshabad,04543,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 4543),RESOLVED_DIRECT
497,Varni,Nizamabad,4376,Varni,04376,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 4376),RESOLVED_DIRECT
498,Shankarampet_A,Medak,4454,Shankarampet (A),04454,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Shankarampet (A) (LGD 4454),RESOLVED_DETERMINISTIC
499,Chegunta,Medak,4466,Chegunta,04466,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4466),RESOLVED_DIRECT
500,Siddipet_Rural,Siddipet,6281,Siddipet Rural,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 6281),RESOLVED_DIRECT
501,Pitlam,Kamareddy,4384,Pitlam,04384,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kamareddy (LGD subdist_code 4384),RESOLVED_DIRECT
502,Siddipet_Urban,Siddipet,4459,Siddipet Urban,04459,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 4459),RESOLVED_DIRECT
503,Adavidevulapally,Nalgonda,6304,Adavidevulapalli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Adavidevulapally -> Adavidevulapalli in Nalgonda,RESOLVED_DETERMINISTIC
504,Veernapalli,Rajanna Sircilla,6220,Veernapalli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Rajanna Sircilla (LGD subdist_code 6220),RESOLVED_DIRECT
505,Ammerpet,Hyderabad,4497,Ameerpet,04497,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Ameerpet (LGD 4497),RESOLVED_DETERMINISTIC
