ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
99,Baduria,North 24 Parganas,GEN,Abdur Rahim Quazi,AITC,109701,56444,Sukalyan Baidya,BJP
100,Habra,North 24 Parganas,GEN,Jyotipriya Mallick,AITC,90533,3841,Biswajit Sinha,BJP
101,Ashoknagar,North 24 Parganas,GEN,Narayan Goswami,AITC,93587,23532,Tanuja Chakraborty,BJP
102,Amdanga,North 24 Parganas,GEN,Rafiqur Rahaman,AITC,88935,25480,Joydev Manna,BJP
103,Bijpur,North 24 Parganas,GEN,Subodh Adhikary,AITC,66625,13347,Subhranshu Roy,BJP
104,Naihati,North 24 Parganas,GEN,Partha Bhowmick,AITC,77753,18855,Phalguni Patra,BJP
105,Bhatpara,North 24 Parganas,GEN,Pawan Kumar Singh,BJP,57244,13687,Jitendra Shaw,AITC
106,Jagatdal,North 24 Parganas,GEN,Somenath Shyam Ichini,AITC,87030,18364,Arindam Bhattacharya,BJP
107,Noapara,North 24 Parganas,GEN,Manju Basu,AITC,94203,26710,Sunil Singh,BJP
108,Barrackpore,North 24 Parganas,GEN,Raj Chakraborty,AITC,68887,9222,Chandramani Shukla,BJP
109,Khardaha,North 24 Parganas,GEN,Kajal Sinha,AITC,89807,28140,Silbhadra Datta,BJP
110,Dum Dum Uttar,North 24 Parganas,GEN,Chandrima Bhattacharya,AITC,95465,28499,Dr. Archana Majumdar,BJP
111,Panihati,North 24 Parganas,GEN,Nirmal Ghosh,AITC,86495,25177,Sanmoy Bandyopadhyay,BJP
112,Kamarhati,North 24 Parganas,GEN,Madan Mitra,AITC,73845,35408,Anindya Banerjee,BJP
113,Baranagar,North 24 Parganas,GEN,Tapas Roy,AITC,85615,35147,Parno Mitra,BJP
114,Dum Dum,North 24 Parganas,GEN,Bratya Basu,AITC,87999,26731,Bimalshankar Nanda,BJP
115,Rajarhat New Town,North 24 Parganas,GEN,Tapash Chatterjee,AITC,127374,56432,Bhaskar Roy,BJP
116,Bidhannagar,North 24 Parganas,GEN,Sujit Bose,AITC,75912,7997,Sabyasachi Dutta,BJP
117,Rajarhat Gopalpur,North 24 Parganas,GEN,Aditi Munshi,AITC,87650,25296,Samik Bhattacharya,BJP
118,Madhyamgram,North 24 Parganas,GEN,Rathin Ghosh,AITC,112741,48126,Rajasree Rajbanshi,BJP
119,Barasat,North 24 Parganas,GEN,Chiranjeet Chakraborty,AITC,104431,23783,Sankar Chatterjee,BJP
120,Deganga,North 24 Parganas,GEN,Rahima Mondal,AITC,100105,32537,Karim Ali,ISF
121,Haroa,North 24 Parganas,GEN,Islam Sk Nurul (Haji),AITC,130398,80978,Kutubuddin Fathe,ISF
122,Minakhan,North 24 Parganas,SC,Usha Rani Mondal,AITC,109818,55830,Jayanta Mondal,BJP
123,Sandeshkhali,North 24 Parganas,ST,Sukumar Mahata,AITC,112450,39685,Dr. Bhaskar Sardar,BJP
124,Basirhat Dakshin,North 24 Parganas,GEN,Dr. Saptarshi Banerjee,AITC,115873,24468,Tarak Nath Ghosh,BJP
125,Basirhat Uttar,North 24 Parganas,GEN,Rafikul Islam Mondal,AITC,137216,89351,Md. Baijid Amin,ISF
126,Hingalganj,North 24 Parganas,SC,Debes Mandal,AITC,104706,24916,Nemai Das,BJP
127,Gosaba,South 24 Parganas,SC,Jayanta Naskar,AITC,105723,23709,Barun Pramanik (Chitta),BJP
128,Basanti,South 24 Parganas,SC,Shyamal Mondal,AITC,111453,50642,Ramesh Majhi,BJP
129,Kultali,South 24 Parganas,SC,Ganesh Chandra Mondal,AITC,117238,47177,Mintu Halder,BJP
130,Patharpratima,South 24 Parganas,GEN,Samir Kumar Jana,AITC,120181,22134,Asit Kumar Haldar,BJP
131,Kakdwip,South 24 Parganas,GEN,Manturam Pakhira,AITC,114493,25302,Dipankar Jana,BJP
132,Sagar,South 24 Parganas,GEN,Bankim Chandra Hazra,AITC,129000,29846,Kamila Bikash,BJP
133,Kulpi,South 24 Parganas,GEN,Jogaranjan Halder,AITC,96577,33818,Pranab Kumar Mallik,BJP
134,Raidighi,South 24 Parganas,GEN,Aloke Jaldata,AITC,115707,35568,Santanu Bapuli,BJP
135,Mandirbazar,South 24 Parganas,SC,Joydeb Halder,AITC,95834,23492,Dilip Kumar Jatua,BJP
136,Jaynagar,South 24 Parganas,SC,Biswanath Das,AITC,104952,38683,Rabin Sardar,BJP
137,Baruipur Purba,South 24 Parganas,SC,Bivas Sardar (Vobo),AITC,123243,49641,Chandan Mondal,BJP
138,Canning Paschim,South 24 Parganas,SC,Paresh Ram Das,AITC,111059,35243,Arnab Roy,BJP
139,Canning Purba,South 24 Parganas,GEN,Saokat Molla,AITC,122301,53007,Gazi Shahabuddin Siraji,ISF
